iso3,region,EPI.new,HLT.new,AIR.new,H2O.new,HMT.new,WMG.new,ECO.new,BDH.new,ECS.new,FSH.new,CCH.new,APE.new,AGR.new,WRS.new
SDN,Greater Middle East,34.8,20.8,17.6,22.3,7.1,53.8,44.1,46.6,59.9,9.1,52.8,64.8,24.7,0.0
SEN,Sub-Saharan Africa,30.7,20.4,25.4,13.1,47.7,0.9,37.6,68.7,25.8,12.8,30.3,49.5,38.6,0.5
SGP,Asia-Pacific,58.1,85.0,76.9,93.2,85.4,99.6,40.2,20.9,18.4,71.4,40.2,79.5,19.7,100.0
SLB,Asia-Pacific,26.7,20.4,27.0,14.0,25.5,0.0,30.9,15.3,25.5,31.8,45.0,57.5,8.6,0.0
SLE,Sub-Saharan Africa,25.7,19.1,25.1,11.5,37.4,0.0,30.2,52.9,9.6,18.7,24.9,40.1,42.7,0.0
SLV,Latin America & Caribbean,43.1,42.5,42.6,41.6,35.5,55.5,43.5,35.8,33.5,5.5,62.8,86.3,23.9,0.1
SRB,Eastern Europe,55.2,47.8,33.6,65.5,51.1,44.7,60.2,57.4,45.8,,68.1,89.0,69.9,1.7
STP,Sub-Saharan Africa,37.6,28.7,24.6,35.2,45.0,0.0,43.6,58.4,100.0,17.2,35.0,47.1,18.2,0.3
SUR,Latin America & Caribbean,45.2,36.6,37.4,39.3,43.2,0.0,50.9,63.6,51.3,16.8,52.8,82.4,59.4,0.0
SVK,Eastern Europe,68.3,64.3,56.2,71.8,69.2,80.6,70.9,85.0,32.1,,71.9,100.0,68.8,43.7
SVN,Eastern Europe,72.0,68.9,60.9,74.7,88.1,83.8,74.1,86.4,37.1,,75.2,90.0,47.0,89.1
SWE,Global West,78.7,98.4,98.2,98.5,98.0,99.8,65.6,72.5,22.4,11.6,77.2,100.0,63.6,100.0
SWZ,Sub-Saharan Africa,33.8,17.6,21.1,12.6,40.2,0.0,44.6,38.4,24.0,,56.9,60.5,41.1,5.7
SYC,Sub-Saharan Africa,58.2,50.8,53.6,51.4,68.6,0.0,63.1,78.9,84.3,18.1,70.7,86.3,8.8,1.6
TCD,Sub-Saharan Africa,26.7,14.9,26.8,0.0,29.1,0.0,34.6,69.0,22.2,,17.4,54.7,38.7,0.0
TGO,Sub-Saharan Africa,29.5,16.4,24.1,5.1,43.7,1.0,38.2,64.2,28.1,11.1,34.4,49.9,39.8,0.0
THA,Asia-Pacific,45.4,48.4,40.6,55.8,81.6,32.9,43.5,53.0,24.3,11.1,52.5,78.7,33.1,2.0
TJK,Former Soviet States,38.2,20.7,15.2,30.9,15.7,0.0,49.9,65.8,97.6,,36.9,29.8,45.5,2.2
TKM,Former Soviet States,43.9,45.0,42.0,47.3,43.5,59.2,43.1,39.7,96.2,,36.4,44.8,39.9,9.8
TLS,Asia-Pacific,35.3,28.9,33.6,25.9,34.3,0.0,39.5,64.5,43.8,46.8,23.4,64.7,34.9,0.3
TON,Asia-Pacific,45.1,43.6,39.5,46.4,78.8,27.2,46.0,37.3,,44.7,56.6,65.5,34.1,0.3
TTO,Latin America & Caribbean,47.5,54.6,57.2,53.4,82.0,10.4,42.9,67.8,35.9,11.8,42.1,77.9,5.2,3.2
TUN,Greater Middle East,46.7,49.2,48.7,52.6,36.5,39.6,45.0,37.1,22.5,18.3,60.2,84.2,24.3,43.0
TUR,Eastern Europe,42.6,51.3,49.5,52.6,61.5,48.5,36.9,15.1,37.1,10.8,49.3,84.0,57.4,30.4
TWN,Asia-Pacific,57.2,59.2,53.2,72.4,73.6,0.0,55.8,65.0,49.2,13.8,63.1,100.0,53.4,7.1
TZA,Sub-Saharan Africa,31.1,27.4,35.8,18.4,43.6,0.0,33.5,70.7,28.3,13.0,18.7,40.1,44.0,1.4
UGA,Sub-Saharan Africa,35.6,25.7,32.6,17.6,41.9,4.9,42.2,81.4,24.4,,27.4,44.4,38.7,0.4
UKR,Former Soviet States,49.5,49.0,39.8,55.1,69.3,73.1,49.9,37.7,30.2,12.4,69.2,76.6,79.5,14.1
URY,Latin America & Caribbean,49.1,67.7,67.7,70.8,62.3,48.9,36.7,25.0,21.0,6.5,55.5,36.4,71.4,2.1
USA,Global West,69.3,82.8,84.2,86.1,75.9,48.3,60.3,67.5,26.8,6.6,71.4,100.0,71.9,58.9
UZB,Former Soviet States,44.3,29.7,15.0,52.0,27.8,0.0,54.1,37.6,70.4,,65.9,70.9,47.5,0.0
VCT,Latin America & Caribbean,48.4,44.1,42.6,43.5,34.7,72.8,51.3,47.6,56.5,18.5,70.2,38.9,35.4,0.8
VEN,Latin America & Caribbean,50.3,46.5,51.3,46.8,43.1,0.0,52.9,75.1,40.6,12.3,63.3,41.4,22.9,6.4
VNM,Asia-Pacific,33.4,40.6,32.0,52.7,47.8,22.8,28.5,33.3,16.4,14.6,30.7,45.7,50.3,0.3
VUT,Asia-Pacific,28.9,26.7,28.6,21.5,45.6,31.4,30.4,30.0,49.7,26.4,32.0,16.4,33.0,0.0
WSM,Asia-Pacific,37.3,42.4,33.4,49.2,68.6,51.7,33.9,29.9,,54.3,35.0,44.0,27.7,0.3
ZAF,Sub-Saharan Africa,43.1,31.1,28.9,24.6,58.8,77.0,51.0,63.2,20.6,7.8,62.8,69.7,54.4,21.7
ZMB,Sub-Saharan Africa,34.7,21.0,27.0,13.4,42.4,0.0,43.9,90.4,31.1,,26.5,22.5,36.6,4.2
ZWE,Sub-Saharan Africa,37.0,22.5,27.2,16.8,32.6,11.0,46.7,87.0,23.1,,37.0,41.0,23.6,0.0
