code,iso,country,region,EPI.new,HLT.new,AIR.new,PMD.new,HAD.new,OZD.new,H2O.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,MSW.new,ECO.new,BDH.new,TBN.new,TBG.new,MPA.new,PAR.new,SHI.new,SPI.new,BHV.new,ECS.new,TCL.new,GRL.new,WTL.new,FSH.new,FSS.new,RMS.new,FGT.new,CCH.new,CDA.new,CHA.new,FGA.new,NDA.new,BCA.new,LCB.new,GIB.new,GHP.new,APE.new,SDA.new,NXA.new,AGR.new,SNM.new,WRS.new,WWT.new,EPI.rgn.mean,EPI.rgn.rank,HLT.rgn.mean,HLT.rgn.rank,AIR.rgn.mean,AIR.rgn.rank,PMD.rgn.mean,PMD.rgn.rank,HAD.rgn.mean,HAD.rgn.rank,OZD.rgn.mean,OZD.rgn.rank,H2O.rgn.mean,H2O.rgn.rank,USD.rgn.mean,USD.rgn.rank,UWD.rgn.mean,UWD.rgn.rank,HMT.rgn.mean,HMT.rgn.rank,PBD.rgn.mean,PBD.rgn.rank,WMG.rgn.mean,WMG.rgn.rank,MSW.rgn.mean,MSW.rgn.rank,ECO.rgn.mean,ECO.rgn.rank,BDH.rgn.mean,BDH.rgn.rank,TBN.rgn.mean,TBN.rgn.rank,TBG.rgn.mean,TBG.rgn.rank,MPA.rgn.mean,MPA.rgn.rank,PAR.rgn.mean,PAR.rgn.rank,SHI.rgn.mean,SHI.rgn.rank,SPI.rgn.mean,SPI.rgn.rank,BHV.rgn.mean,BHV.rgn.rank,ECS.rgn.mean,ECS.rgn.rank,TCL.rgn.mean,TCL.rgn.rank,GRL.rgn.mean,GRL.rgn.rank,WTL.rgn.mean,WTL.rgn.rank,FSH.rgn.mean,FSH.rgn.rank,FSS.rgn.mean,FSS.rgn.rank,RMS.rgn.mean,RMS.rgn.rank,FGT.rgn.mean,FGT.rgn.rank,CCH.rgn.mean,CCH.rgn.rank,CDA.rgn.mean,CDA.rgn.rank,CHA.rgn.mean,CHA.rgn.rank,FGA.rgn.mean,FGA.rgn.rank,NDA.rgn.mean,NDA.rgn.rank,BCA.rgn.mean,BCA.rgn.rank,LCB.rgn.mean,LCB.rgn.rank,GIB.rgn.mean,GIB.rgn.rank,GHP.rgn.mean,GHP.rgn.rank,APE.rgn.mean,APE.rgn.rank,SDA.rgn.mean,SDA.rgn.rank,NXA.rgn.mean,NXA.rgn.rank,AGR.rgn.mean,AGR.rgn.rank,SNM.rgn.mean,SNM.rgn.rank,WRS.rgn.mean,WRS.rgn.rank,WWT.rgn.mean,WWT.rgn.rank
440,LTU,Lithuania,Eastern Europe,62.9,63.2,62.7,60.5,64.7,70.5,58.3,59.9,57.2,83.9,83.9,87.8,87.8,62.7,87.5,99.4,99.4,100,33.7,90.7,100,53.2,24.6,21.4,64.4,41.9,14.5,NA,19,9.2,65.9,55.2,100,80.4,93.6,72.1,51.9,45.2,24.9,96.6,97.3,95.9,64.1,64.1,51.4,51.4,59.91052632,10,58.42631579,7,49.76315789,4,45.43684211,3,55.73684211,6,49.72105263,2,67.51052632,16,74.27894737,17,62.97368421,14,65.34210526,3,65.34210526,3,65.58947368,4,65.58947368,4,60.9,9,70.31578947,2,81.75789474,13,83.18947368,13,57.25,1,36.56315789,12,84.81111111,2,84.26666667,1,46.41578947,3,36.35789474,17,33.95263158,17,60.51578947,8,55.74210526,15,15.63333333,5,11.62857143,11,23.83333333,5,5.745454545,3,67.31052632,12,60.66315789,14,85.72631579,1,89.01052632,19,70.40526316,6,79.11578947,12,58.13157895,13,49.22631579,11,31.62631579,15,92.73684211,8,94.28421053,13,91.22105263,9,53.09473684,6,53.09473684,6,41.73157895,9,41.73157895,9
442,LUX,Luxembourg,Global West,82.3,92.6,87.2,81.4,100,48.2,98.6,100,97.7,96.1,96.1,96.2,96.2,75.4,85.5,100,100,NA,64.6,NA,NA,48.5,34.3,30.7,100,NA,NA,NA,NA,NA,77.5,78.7,81.7,91.7,67.5,100,16.8,75.7,7.3,100,100,100,42.2,42.2,98.5,98.5,75.58636364,2,90.97727273,7,88.24090909,11,84.63181818,13,97.51818182,1,53.80909091,12,95.23181818,9,95.64545455,1,94.95909091,11,85.42272727,5,85.42272727,5,89.76818182,11,89.76818182,11,65.32727273,2,77.60909091,6,86.37272727,1,86.87727273,1,76.88421053,21,44.06818182,2,84.485,21,94.855,21,53.78181818,11,36.87727273,9,31.0047619,8,68.93636364,1,52.625,21,12.00526316,21,8.294444444,20,25.48461538,17,6.844444444,20,72.70454545,6,66.88181818,4,92.11363636,20,92.68636364,15,70.34545455,14,89.05454545,1,59.10952381,21,56.75909091,4,21.56363636,18,93.91363636,1,94.71363636,1,93.10909091,1,50.45909091,16,50.45909091,16,77.92727273,5,77.92727273,5
428,LVA,Latvia,Eastern Europe,61.6,58,54.8,53.2,55.2,69.8,59,61.1,57.5,78.4,78.4,61.4,61.4,64,86.7,100,100,100,31.9,75.9,100,59.4,21.4,18.2,43.2,58.2,7.3,3.5,14.4,3.5,67.7,65.8,70.9,90.2,48.7,96.7,62.5,41.7,35.3,94.8,100,89.7,62.8,62.8,90.7,90.7,59.91052632,11,58.42631579,10,49.76315789,8,45.43684211,6,55.73684211,10,49.72105263,3,67.51052632,15,74.27894737,16,62.97368421,13,65.34210526,4,65.34210526,4,65.58947368,14,65.58947368,14,60.9,7,70.31578947,4,81.75789474,1,83.18947368,1,57.25,1,36.56315789,14,84.81111111,17,84.26666667,1,46.41578947,2,36.35789474,19,33.95263158,18,60.51578947,19,55.74210526,6,15.63333333,11,11.62857143,5,23.83333333,9,5.745454545,7,67.31052632,10,60.66315789,7,85.72631579,16,89.01052632,8,70.40526316,16,79.11578947,6,58.13157895,8,49.22631579,12,31.62631579,7,92.73684211,10,94.28421053,1,91.22105263,12,53.09473684,8,53.09473684,8,41.73157895,1,41.73157895,1
504,MAR,Morocco,Greater Middle East,42.3,33.3,27,14,44.6,30,40.8,47.2,36.6,28.9,28.9,39.6,39.6,48.3,67.4,100,100,0.5,45.8,80.7,95.7,51.1,40.8,35.8,70.3,100,16.7,22.9,23,1.9,48.7,47,56,NA,50.1,37.6,36.7,50.2,69.9,80.5,97,64,38.9,38.9,5.4,5.4,46.4875,12,48.7375,15,44.30625,15,19.79375,10,79.45,15,32.5625,10,56.19375,14,65.94375,14,49.6875,14,41.60625,13,41.60625,13,40.3375,9,40.3375,9,44.98125,7,43.45625,2,45.44375,1,44.3,1,18.24285714,10,9.825,1,89.20666667,12,55.53333333,1,66.175,14,59.91875,11,57.38181818,8,67.50769231,5,71.51333333,1,15.47142857,5,14.12222222,3,17.20714286,4,5.75,2,47.825,11,42.99375,8,50.29375,5,93.15454545,13,43.43125,8,46.84375,10,34.03076923,7,51.40625,9,32.775,1,68.35,7,76.425,5,60.26875,9,36.5125,6,36.5125,6,36.7,14,36.7,14
498,MDA,Moldova,Former Soviet States,44.4,45.6,44.3,41.7,46.8,53.4,50,48.9,50.6,54.7,54.7,13.8,13.8,43.6,27.9,20.9,22.1,NA,14.5,80.6,2.5,40.2,45.8,39.8,100,100,NA,NA,NA,NA,52.2,43,82.3,86.9,0,54.3,36.9,43.4,67.4,76.1,52.2,100,50.8,50.8,9,9,45.7,7,40.69166667,4,34.3,3,24.76666667,2,46.93333333,6,38.225,3,50.50833333,8,49.01666667,8,51.5,8,48.01666667,4,48.01666667,4,19.08333333,4,19.08333333,4,49.04166667,10,48.925,12,41.45833333,8,46.15833333,12,14.7,8,16.5,8,90.40833333,11,68.91666667,12,56,12,66.35,9,66.075,9,59.03333333,1,77.28181818,1,7.033333333,8,7.8,8,10.73333333,8,3.166666667,8,50.50833333,5,44.63333333,6,49.9,2,88.5,9,33.925,10,46.88333333,5,83.275,12,49.24166667,7,41.50833333,3,58.38333333,5,60.84166667,8,55.925,1,50.53333333,6,50.53333333,6,12.4,6,12.4,6
450,MDG,Madagascar,Sub-Saharan Africa,26.5,22.1,36.1,56.4,7.4,41.5,5.9,5.7,6,33,33,0.6,0.6,29.4,25,32.3,29.1,7,17.4,0,48.6,46.7,14.6,9.2,70.2,55.5,11.8,13.7,9.9,NA,39.9,12.6,86.1,89.7,67.1,49.9,26.1,47.8,89.4,40.5,41.6,39.4,50.5,50.5,0,0,33.20217391,42,22.73478261,19,28.01086957,7,35.92608696,5,16.07173913,36,36.43478261,11,15.92173913,40,16.70434783,41,15.41304348,40,41.35,36,41.35,36,5.652173913,20,5.652173913,20,40.18695652,45,58.58913043,41,68.97826087,37,71.34347826,39,14.53333333,8,30.38695652,35,84.34878049,41,75.70487805,37,55.5826087,39,40.82608696,43,36.69545455,43,55.23777778,8,63.00227273,26,12.29333333,14,13.74166667,13,13.25862069,19,5.89,27,37.82608696,18,24.81956522,33,54.52826087,10,89.78333333,5,53.02391304,13,42.35652174,15,37.33255814,30,54.18913043,28,75.61086957,15,46.05652174,31,50.15869565,37,41.95217391,30,32.8826087,3,32.8826087,3,1.519565217,22,1.519565217,22
462,MDV,Maldives,Southern Asia,35.6,48,51.2,61.3,40.6,24.4,47.8,53.3,44.1,55.4,55.4,9.6,9.6,27.4,6.5,2.4,2.4,0.5,10.4,NA,NA,31.4,78.2,77,100,NA,46.6,8.6,39,100,27.7,23.4,55.8,NA,1.2,0,NA,25.8,64.7,26.7,49.7,3.7,14.1,14.1,4.3,4.3,32.725,3,26.775,1,23.65,1,27.75,1,19.425,1,12.2375,2,30.8125,2,32.875,1,29.4375,2,33.1875,2,33.1875,2,19.55,5,19.55,5,36.7125,8,45.7375,8,47.3,7,53.575,7,7.84,5,19.75,4,88.82857143,8,64.08571429,8,47.7875,8,59.3875,3,58.0125,3,64.3,1,79.12857143,8,20.4,1,15.66,4,18.98,1,32.6,1,32.5625,5,14.4375,3,67.75,7,93.45,5,49.8375,8,40.175,8,56.85714286,8,45.9125,8,77.7,7,31.7,5,36.65,3,26.7375,7,39.25,8,39.25,8,0.825,1,0.825,1
484,MEX,Mexico,Latin America & Caribbean,52.6,47.5,40.8,42.2,39.5,36.4,52.8,57.2,49.8,45.7,45.7,74.3,74.3,55.9,72.9,80.4,85.2,100,21.2,67.7,51.8,57.1,32.5,29.8,68,46.9,12.8,7.3,18.4,NA,65.2,59.5,69,100,53.2,81.3,61.9,57.9,39.3,71.4,65.5,77.2,38.8,38.8,31.6,31.6,45.56875,3,46.84375,15,46.85,24,44.2875,19,48,21,65.684375,31,46.953125,8,52.01875,10,43.56875,6,50.76875,20,50.76875,20,42.1625,5,42.1625,5,44.71875,1,58.365625,9,73.253125,17,71.446875,11,31.74333333,1,52.36875,29,62.644,16,67.348,20,52.559375,12,32.60625,17,30.265625,17,59.44193548,7,49.59354839,14,13.41666667,16,9.228,14,15.53448276,9,15.11428571,21,51.653125,3,44.840625,4,65.15625,14,90.15,1,58.128125,21,45.5,8,61.29375,14,39.10625,4,50.79375,24,50.521875,8,55.71875,12,45.303125,5,32.653125,9,32.653125,9,9.68125,4,9.68125,4
584,MHL,Marshall Islands,Asia-Pacific,30.8,32.6,32.5,37.6,16.9,100,32.2,35.3,30.2,46.6,46.6,22.1,22.1,29.6,11.4,5,5,2.4,13,NA,NA,52.9,NA,NA,NA,NA,53.5,35.4,NA,74.5,39.6,35.1,55.9,NA,48.7,48.5,NA,9.1,64.5,50.6,100,1.1,1.7,1.7,0,0,40.768,22,42.42,14,39.04,12,42.032,16,33.148,16,53.212,1,46.22,17,51.132,17,42.944,17,55.392,14,55.392,14,32.656,15,32.656,15,39.676,23,44.852,24,58.272,22,56.856,23,12.48695652,12,15.652,16,62.58888889,21,62.54444444,21,58.192,17,33.82857143,23,32.58095238,23,51.21875,20,45.05,17,28.60434783,5,13.02380952,1,32.40526316,25,37.80909091,4,42.14,14,30.62,11,59.68,15,90.5,20,58.68,16,56.2,17,38.535,23,43.136,22,52.604,13,56.124,15,69.156,1,43.1,25,35.94,24,35.94,24,11.928,17,11.928,17
807,MKD,North Macedonia,Eastern Europe,55.4,43.6,26.5,18.3,34.5,53.6,61.1,65.4,58.1,46.7,46.7,72.1,72.1,63.2,62.1,51.4,70.5,NA,36.6,76.4,93.3,46.5,42.3,42,70.5,19.9,NA,NA,NA,NA,75.2,81,56.1,95.4,70.6,58.9,67.6,68.5,44.3,100,100,100,40.9,40.9,0.9,0.9,59.91052632,14,58.42631579,19,49.76315789,19,45.43684211,19,55.73684211,18,49.72105263,7,67.51052632,14,74.27894737,13,62.97368421,11,65.34210526,16,65.34210526,16,65.58947368,12,65.58947368,12,60.9,8,70.31578947,14,81.75789474,15,83.18947368,15,57.25,19,36.56315789,10,84.81111111,16,84.26666667,13,46.41578947,10,36.35789474,6,33.95263158,4,60.51578947,3,55.74210526,19,15.63333333,19,11.62857143,19,23.83333333,19,5.745454545,19,67.31052632,3,60.66315789,2,85.72631579,19,89.01052632,1,70.40526316,12,79.11578947,17,58.13157895,4,49.22631579,2,31.62631579,3,92.73684211,1,94.28421053,1,91.22105263,1,53.09473684,15,53.09473684,15,41.73157895,19,41.73157895,19
